Dataset,Class,Accuracy,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Weighted),Recall (Weighted),F1-Score (Weighted),Support
Train,Overall,0.9929627023223082,0.9930721962329698,0.9929627023223082,0.9929741029415923,0.9930721962329699,0.9929627023223082,0.9929741029415924,-
Train,0,-,1.0,0.9942528735632183,0.9971181556195965,-,-,-,174.0
Train,1,-,0.9942857142857143,1.0,0.9971346704871061,-,-,-,174.0
Train,2,-,0.9885714285714285,0.9942528735632183,0.991404011461318,-,-,-,174.0
Train,3,-,0.9942528735632183,0.9942528735632183,0.9942528735632183,-,-,-,174.0
Train,4,-,0.9941176470588236,0.9712643678160919,0.9825581395348837,-,-,-,174.0
Train,5,-,0.9942528735632183,0.9942528735632183,0.9942528735632183,-,-,-,174.0
Train,6,-,1.0,1.0,1.0,-,-,-,174.0
Train,7,-,1.0,0.9942528735632183,0.9971181556195965,-,-,-,174.0
Train,8,-,1.0,0.9885057471264368,0.9942196531791908,-,-,-,174.0
Train,9,-,0.9829545454545454,0.9942528735632183,0.9885714285714285,-,-,-,174.0
Train,10,-,1.0,1.0,1.0,-,-,-,174.0
Train,11,-,1.0,0.9942528735632183,0.9971181556195965,-,-,-,174.0
Train,12,-,0.9941860465116279,0.9827586206896551,0.9884393063583815,-,-,-,174.0
Train,13,-,1.0,1.0,1.0,-,-,-,174.0
Train,14,-,1.0,1.0,1.0,-,-,-,174.0
Train,15,-,1.0,1.0,1.0,-,-,-,174.0
Train,16,-,0.9941860465116279,0.9827586206896551,0.9884393063583815,-,-,-,174.0
Train,17,-,0.9662921348314607,0.9885057471264368,0.9772727272727273,-,-,-,174.0
Train,18,-,1.0,1.0,1.0,-,-,-,174.0
Train,19,-,1.0,1.0,1.0,-,-,-,174.0
Train,20,-,1.0,0.9885057471264368,0.9942196531791908,-,-,-,174.0
Train,21,-,0.9942857142857143,1.0,0.9971346704871061,-,-,-,174.0
Train,22,-,0.9942196531791907,0.9885057471264368,0.9913544668587896,-,-,-,174.0
Train,23,-,1.0,1.0,1.0,-,-,-,174.0
Train,24,-,1.0,1.0,1.0,-,-,-,174.0
Train,25,-,0.9941860465116279,0.9827586206896551,0.9884393063583815,-,-,-,174.0
Train,26,-,0.9886363636363636,1.0,0.9942857142857142,-,-,-,174.0
Train,27,-,0.9662921348314607,0.9885057471264368,0.9772727272727273,-,-,-,174.0
Train,28,-,1.0,1.0,1.0,-,-,-,174.0
Train,29,-,0.9772727272727273,0.9885057471264368,0.9828571428571428,-,-,-,174.0
Train,30,-,0.9942528735632183,0.9942528735632183,0.9942528735632183,-,-,-,174.0
Train,31,-,1.0,1.0,1.0,-,-,-,174.0
Train,32,-,0.9402173913043478,0.9942528735632183,0.9664804469273742,-,-,-,174.0
Train,33,-,1.0,1.0,1.0,-,-,-,174.0
Train,34,-,1.0,1.0,1.0,-,-,-,174.0
Train,35,-,0.9883720930232558,0.9770114942528736,0.9826589595375722,-,-,-,174.0
Train,36,-,0.9770114942528736,0.9770114942528736,0.9770114942528736,-,-,-,174.0
Train,37,-,1.0,1.0,1.0,-,-,-,174.0
Train,38,-,0.9942528735632183,0.9942528735632183,0.9942528735632183,-,-,-,174.0
Train,39,-,1.0,0.9885057471264368,0.9942196531791908,-,-,-,174.0
Train,40,-,0.9942528735632183,0.9942528735632183,0.9942528735632183,-,-,-,174.0
Train,41,-,0.9827586206896551,0.9827586206896551,0.9827586206896551,-,-,-,174.0
Train,42,-,0.9886363636363636,1.0,0.9942857142857142,-,-,-,174.0
Train,43,-,0.9942857142857143,1.0,0.9971346704871061,-,-,-,174.0
Train,44,-,1.0,0.9540229885057471,0.976470588235294,-,-,-,174.0
Train,45,-,0.9942857142857143,1.0,0.9971346704871061,-,-,-,174.0
Train,46,-,1.0,1.0,1.0,-,-,-,174.0
Train,47,-,0.9942196531791907,0.9885057471264368,0.9913544668587896,-,-,-,174.0
Train,48,-,1.0,1.0,1.0,-,-,-,174.0
